Time (hr),Temperature (1/R),XA,XB
0.0,0.1488309562732905,0.3783082220597006,0.6216917779402986
0.05,0.1470629827726857,0.13796108925314543,0.23351570464929503
0.1,0.16160324570388132,0.113062151630372,0.18928802718243398
0.15,0.16373871853888544,0.09878621974543997,0.1631895971227211
0.2,0.16529773098465228,0.08933934086578649,0.14573356306082083
0.25,0.16644859464585057,0.08246964590614998,0.13299444421333972
0.3,0.1673051717457079,0.07713850462299611,0.12310667722099344
0.35,0.16793246056663827,0.0727980627331453,0.11507025211307527
0.4,0.16837586904341423,0.06913231040255574,0.10830323176363808
0.45,0.1686729874144884,0.06594773859982661,0.10244751240071605
0.5,0.16885513860595763,0.0631202558017159,0.09727279806393399
0.55,0.16894643814481533,0.06056677065368862,0.09262463051399583
0.6,0.16896431892607172,0.05822928090606013,0.08839512055832249
0.65,0.16892110628901547,0.05606574511537732,0.08450610140294845
0.7,0.16882556143580446,0.05404468880012517,0.08089915122742565
0.75,0.16868401357289217,0.05214189672153702,0.0775294624173633
0.8,0.16850109868124785,0.05033830105771152,0.07436192035156361
0.85,0.1682802044761355,0.04861857594176933,0.07136849085842817
0.9,0.16802370123246038,0.046970159556739215,0.06852640417971571
0.95,0.1677330051357621,0.04538253740750929,0.06581683191429528
1.0,0.16740849540667468,0.04384668172312524,0.06322386862544115
1.05,0.16704929031717078,0.042354576122249424,0.06073369570080652
1.1,0.16665287768274908,0.04089877375973952,0.05833384404332163
1.15,0.16621458901447686,0.03947194692431065,0.05601249531995063
1.2,0.16572689627447118,0.03806638796882131,0.05375777280091431
1.25,0.16517848492864473,0.03667341323049725,0.05155697103618308
1.3,0.1645529944489512,0.03528259540637919,0.04939565114163292
1.35,0.16382717258757426,0.03388068702177653,0.047256466570448186
1.4,0.1629678602292472,0.03244995286259354,0.0451174374487459
1.45,0.1619264496489718,0.030965282008748783,0.04294903921054064
1.5,0.16062750851350002,0.029388541105611198,0.04070855633461926
1.55,0.15894273447365387,0.027655917073559574,0.03832745029118874
1.6,0.15662243347957622,0.02564415788579869,0.03567778859913168
1.65,0.1530655578646053,0.02305231932487845,0.03245540361504622
1.7,0.1474926127650209,0.01924029442527281,0.02805585183565531
1.75,0.14718304530373164,0.016283267973081224,0.024717879663749488
1.8,0.14716106606495544,0.013997427565825171,0.022165388145233188
1.85,0.14715475919738752,0.01218609953434592,0.020158583037624377
1.9,0.14715225683106367,0.010719832713309238,0.01854444010540127
1.95,0.14715142092829678,0.009511526581235597,0.017221425008619624
2.0,0.14715159882327167,0.008500732369737545,0.016119761342669778
2.05,0.14715251475358446,0.007644298892684641,0.015190043479168814
2.1,0.1471540384907456,0.006910655649844765,0.014396379352249548
2.15,0.1471561147247436,0.00627620419722127,0.013712106610347231
2.2,0.14715873502337387,0.005722970393398451,0.013117029446702892
2.25,0.1471619258896464,0.005237035084465532,0.012595585480604066
2.3,0.14716574491050327,0.0048074595815100025,0.012135599021121782
2.35,0.14717028220800277,0.004425533990713544,0.011727414189068204
2.4,0.14717566655910622,0.004084241236540528,0.011363280163549762
2.45,0.147182076941095,0.0037778683061499823,0.011036907491780218
2.5,0.14718976172862575,0.0035017199831188263,0.010743142829771722
2.55,0.14719907000553983,0.003251905284816769,0.010477727256737322
2.6,0.14721050355349638,0.0030251764788062087,0.010237114716792239
2.65,0.14722480639725768,0.002818807009460427,0.010018334705888652
2.7,0.14724312705892242,0.0026304992423731577,0.009818888619709141
2.75,0.1472673323169385,0.0024583166578173088,0.009636673391735566
2.8,0.14730066628029923,0.002300639258020611,0.009469930553141336
2.85,0.14734929040570036,0.002156148310347274,0.009317226575971869
2.9,0.14742641969178233,0.0020238664557808185,0.009177490939191155
2.95,0.14756568693784253,0.001903351093903124,0.009050212399623576
3.0,0.147876327931489,0.0017954675256647997,0.00893623275811714
