Time (hr),Temperature (1/R),XA,XB
0.0,0.1488309562732905,0.3732529011984483,0.6267470988015518
0.05,0.17240667990707886,0.3214310090491839,0.5511962978698006
0.1,0.1724072996896717,0.2816526355838747,0.4828902075540422
0.15,0.17240393018937358,0.2505131646767123,0.42482381646357903
0.2,0.17238944768486053,0.22562194294616206,0.37634767635687594
0.25,0.17217210938050467,0.20492334222458972,0.3351282393224733
0.3,0.16899126856107216,0.18129548644604315,0.2879738848092606
0.35,0.17036914809194229,0.16524529792463577,0.25594286860513843
0.4,0.17185396647318174,0.1539627005299693,0.23345178886714302
0.45,0.17220716768395175,0.14463504453009732,0.21493457895680107
0.5,0.17226748490788316,0.13654564697940838,0.19897265731134217
0.55,0.17227956238460604,0.12942643717237398,0.18502661792090866
0.6,0.1722709021058889,0.12309832307161087,0.1727296563974832
0.65,0.17224348443209486,0.11742409302200033,0.16179783681763632
0.7,0.17218801131557918,0.11229037503422541,0.151996485496266
0.75,0.17207594807499374,0.10759216948138896,0.14311184884983277
0.8,0.17181353707086267,0.10319973349388709,0.13489211184459943
0.85,0.1574880770160355,0.08530079289469253,0.1065933974371445
0.9,0.15731643382139798,0.07248201245268723,0.08789128786127887
0.95,0.15778078926851105,0.06343491465775744,0.07521134075123558
1.0,0.15766688992773673,0.05633055777375381,0.06554829321925827
1.05,0.1570236832281923,0.050284096197168296,0.05756407404069266
1.1,0.1559160557632682,0.04482679230368771,0.050587694313000274
1.15,0.15427256304399528,0.03962841956585264,0.04418212186087901
1.2,0.15193990686772635,0.03439928878672452,0.03800116534059339
1.25,0.14902467084728035,0.029022237629456413,0.031909961946089915
1.3,0.14768455294377097,0.024484201756041133,0.026897668955311056
1.35,0.14746471565927752,0.021034879119466703,0.023137949798471613
1.4,0.147391423991221,0.01837186134450941,0.020262082876903263
1.45,0.14735483413277942,0.016266776938427388,0.018005299221593118
1.5,0.1473334548612211,0.014566729923197429,0.01619364424208093
1.55,0.14732010975356802,0.01316823952155443,0.0147108176237211
1.6,0.14731162860888306,0.011999498672151717,0.013476882219248563
1.65,0.14730638702609938,0.011009397571367997,0.012435389040187886
1.7,0.14730347613902692,0.010160698107430654,0.011545485656550104
1.75,0.1473023588000203,0.00942569435499224,0.010776953625620981
1.8,0.14730270822134192,0.008783383837457923,0.010107002564969499
1.85,0.14730432562153536,0.008217578283247132,0.009518145319566318
1.9,0.14730709568540476,0.007715613023957172,0.008996756050008797
1.95,0.14731096161696283,0.0072674469136662055,0.008532070511995839
2.0,0.14731591109856385,0.006865022660341902,0.008115479282552003
2.05,0.14732196879685727,0.0065018043667521225,0.007740019181281575
2.1,0.14732919318001422,0.006172437932623059,0.007400001387866373
2.15,0.14733767654317007,0.005872498112240907,0.0070907355188824135
2.2,0.14734754781436793,0.005598297666777361,0.006808322170541538
2.25,0.14735897819133806,0.005346741671261311,0.006549495052076005
2.3,0.14737219008803354,0.005115215114716951,0.006311499548431344
2.35,0.14738747035950253,0.004901495375822154,0.00609199840718528
2.4,0.14740518944263287,0.0047036835322577025,0.005888997892869958
2.45,0.14742582906734567,0.004520150131364493,0.005700789604272267
2.5,0.14745002284014638,0.004349492249535711,0.005525904474894592
2.55,0.14747861679062668,0.004190499558993163,0.005363076454460475
2.6,0.14751276187462584,0.004042127821014373,0.005211214130758959
2.65,0.14755405937692773,0.003903478833792977,0.0050693792042933285
2.7,0.14760479714166866,0.003773786488030903,0.004936771386274488
2.75,0.14766834812690482,0.0036524093763334437,0.004812720110576793
2.8,0.14774987155705488,0.003538831624451551,0.004696684698249128
2.85,0.1478575984933719,0.003432675698053041,0.004588266730128716
2.9,0.14800522669332894,0.0033337339879156596,0.0044872414731937675
2.95,0.14821570622217223,0.0032420223436960545,0.004393611554278929
3.0,0.14851760114280477,0.003157758076916665,0.004307584415905718
