Time (hr),Temperature (1/R),XA,XB
0.0,0.1488309562732905,0.37685069628918966,0.6231493037108105
0.05,0.1724129515854116,0.3248705019480642,0.5474651932758685
0.1,0.17241292075046089,0.2849717674825349,0.4790539953836429
0.15,0.17241239422675653,0.2537528824094101,0.420924653636602
0.2,0.17241007236471587,0.22883375813398327,0.3724618288558547
0.25,0.16529000119192216,0.18859467741028088,0.29376738276879827
0.3,0.16584214992862897,0.16202830654378295,0.24225464561161625
0.35,0.16735081212627123,0.14505583736703384,0.20964070997235298
0.4,0.17236586688912725,0.13721004238436826,0.19447626997308304
0.45,0.16597251882824368,0.1233639241093886,0.16861899007121423
0.5,0.16027861655159964,0.10396125077937148,0.13543439628662032
0.55,0.15869543412092182,0.08772485776073616,0.10970708355271852
0.6,0.1581537905803498,0.07531760871476956,0.09111376904018421
0.65,0.15755399174772905,0.06547435345487916,0.07701618977527863
0.7,0.15649359409466,0.05710704314936025,0.0655474234889886
0.75,0.1547601213671811,0.04944558528992479,0.05554317079290816
0.8,0.15199980005479327,0.04179480720006397,0.04611310803453402
0.85,0.14748741340771535,0.03326209880160539,0.03630179664129721
0.9,0.14708314288511418,0.027261478688897393,0.02958008594037593
0.95,0.1470745433521094,0.022999450537354145,0.024875639901954107
1.0,0.14707184404016993,0.019833660354362452,0.021419278846641885
1.05,0.1470705672925083,0.01739800854791815,0.018783234838854346
1.1,0.14706986250688728,0.015470775154338876,0.016712362434255022
1.15,0.14706944655598153,0.013910603016903247,0.015045931559545509
1.2,0.1470691980142186,0.012623464170800522,0.013678093626241743
1.25,0.14706905671286227,0.01154455826893445,0.01253652388105013
1.3,0.14706898993076645,0.010627870247707167,0.011570243252516665
1.35,0.1470689787279658,0.009839877009354668,0.010742351923873652
1.4,0.14706901170021294,0.009155609560489735,0.010025522176655359
1.45,0.14706908186046322,0.00855610764357119,0.009399107475602827
1.5,0.14706918497528093,0.008026727103867771,0.008847233243498035
1.55,0.14706931863309913,0.007555985845398647,0.00835750315416223
1.6,0.14706948170536327,0.007134759377893901,0.007920102329456818
1.65,0.14706967403129553,0.00675570885905299,0.0075271629299226645
1.7,0.14706989623760183,0.0064128671572253725,0.007172307123889024
1.75,0.1470701496451887,0.006101334439509922,0.006850312392792972
1.8,0.14707043623684396,0.005817051029689477,0.0065568627538332746
1.85,0.14707075867242086,0.005556625664743901,0.006288361324492089
1.9,0.14707112034600148,0.005317204057571169,0.006041787345741316
1.95,0.14707152548524433,0.005096367183021711,0.005814585873918295
2.0,0.14707197929808818,0.004892051756431156,0.005604581783440223
2.05,0.14707248817721555,0.004702487472611916,0.0054099120731627825
2.1,0.14707305997915363,0.004526147037823278,0.005228972103327091
2.15,0.14707370440379278,0.004361706063227198,0.005060372541910808
2.2,0.14707443351316601,0.004208010630513284,0.004902904621664189
2.25,0.14707526244835042,0.004064050878438995,0.004755511903518795
2.3,0.14707621043505306,0.003928939353572617,0.004617267176615766
2.35,0.14707730222021248,0.003801893161082525,0.004487353446499565
2.4,0.14707857016916176,0.0036822191709096775,0.004365048203382411
2.45,0.14708005740490457,0.0035693017016484464,0.004249710344675818
2.5,0.14708182264627084,0.003462592234068291,0.004140769266931608
2.55,0.14708394792219867,0.0033616008104032833,0.004037715755024838
2.6,0.14708655137479837,0.003265888865430649,0.003940094392765574
2.65,0.1470898095503417,0.0031750633247293785,0.003847497313538259
2.7,0.14709399853749255,0.003088771918622535,0.0037595592268537567
2.75,0.14709957559696055,0.0030066998538897023,0.0036759538542853356
2.8,0.14710735690522278,0.0029285684212861382,0.0035963923494874944
2.85,0.14711895560739097,0.0028541373469907123,0.003520625518112558
2.9,0.1471380681922527,0.00278321704860958,0.0034484560414709876
2.95,0.14717544406082547,0.002715717879252657,0.003379788000737353
3.0,0.1472817286225496,0.0026519411586209893,0.0033149201981974414
